0, -0.043422
0.01, 0.040386
0.02, 0.15902
0.03, 0.127924
0.04, 0.229152
0.05, 0.144161
0.06, 0.19531
0.07, 0.11904
0.08, 0.0380163
0.09, -0.0248249
0.1, -0.0807324
0.11, -0.149577
0.12, -0.172888
0.13, -0.201261
0.14, -0.154461
0.15, -0.179509
0.16, 0.00246054
0.17, 0.0170356
0.18, 0.0992203
0.19, 0.149537
0.2, 0.15543
0.21, 0.138506
0.22, 0.140746
0.23, 0.122238
0.24, 0.0339835
0.25, 0.0302017
0.26, -0.0556672
0.27, -0.145111
0.28, -0.138028
0.29, -0.201186
0.3, -0.193185
0.31, -0.146744
0.32, -0.131259
0.33, -0.0346555
0.34, -0.0126607
0.35, 0.152119
0.36, 0.102962
0.37, 0.231419
0.38, 0.157371
0.39, 0.161123
0.4, 0.111598
0.41, 0.00193437
0.42, -0.0384799
0.43, -0.140215
0.44, -0.132372
0.45, -0.228004
0.46, -0.157268
0.47, -0.228054
0.48, -0.105371
0.49, -0.0674513
0.5, 0.055664
0.51, 0.0699069
0.52, 0.136722
0.53, 0.15622
0.54, 0.185074
0.55, 0.157191
0.56, 0.167763
0.57, 0.0603489
0.58, 0.0300403
0.59, -0.0517351
0.6, -0.111896
0.61, -0.168225
0.62, -0.164706
0.63, -0.202432
0.64, -0.120787
0.65, -0.13062
0.66, -0.0432865
0.67, 0.0374066
0.68, 0.0479099
0.69, 0.130053
0.7, 0.157915
0.71, 0.178048
0.72, 0.151106
0.73, 0.159339
0.74, 0.0134084
0.75, -0.022046
0.76, -0.100842
0.77, -0.177526
0.78, -0.20182
0.79, -0.216703
0.8, -0.203856
0.81, -0.123923
0.82, -0.100254
0.83, -0.0262258
0.84, 0.0677637
0.85, 0.111169
0.86, 0.174273
0.87, 0.207186
0.88, 0.131306
0.89, 0.146437
0.9, 0.111479
0.91, 0.080508
0.92, 0.0219383
0.93, -0.0535866
0.94, -0.144318
0.95, -0.156625
0.96, -0.210074
0.97, -0.146353
0.98, -0.175341
0.99, -0.0800732
1, -0.0282638
